appl_dt;id;reason;regstd_cred_cey_amt;cale_cred_ccy_amt;dpd;overdue;ki_payments;cc_payments;fssp_number;card_number
05.02.2025;1;Кредитная история;60000;0;0;1;5714;0;0;0
28.12.2024;2;Лимит;300000;0;0;0;24550;0;0;0
11.12.2024;3;Кредитная история;30000;0;0;1;19661;0;0;0
11.12.2024;4;Модель;10000;0;0;0;0;0;0;0
01.02.2025;5;Кредитная история;100000;0;54929;1;0;0;0;0
12.12.2024;6;Лимит;300000;0;38910;0;34689;0;0;0
09.12.2024;7;Кредитная история;300000;0;136957;1;24750;0;0;0
21.01.2025;8;Модель;160000;0;0;0;3565;0;0;0
06.12.2024;9;Кредитная история;300000;0;0;1;29500;0;0;0
15.01.2025;10;Кредитная история;100000;0;0;1;500;0;0;0
09.01.2025;11;Лимит;80000;0;6835;0;3250;0;0;0
14.01.2025;12;Лимит;450000;0;61884;0;147939;0;0;0
21.01.2025;13;Модель;80000;0;0;0;0;0;0;0
10.01.2025;14;Лимит;600000;0;26717;0;27921;0;0;0
03.01.2025;15;Лимит;50000;0;9503;0;19465;0;0;0
05.01.2025;16;Кредитная история;100000;0;0;1;61461;0;0;0
26.01.2025;17;Лимит;100000;0;22986;0;30613;0;0;0
08.01.2025;18;Кредитная история;100000;0;133245;1;84987;8499;0;0
06.02.2025;19;Кредитная история;120000;0;0;1;0;0;0;0
08.01.2025;20;Кредитная история;300000;0;16580;1;21740;0;0;0
04.12.2024;21;Лимит;1400000;0;0;0;97559;0;0;0
19.12.2024;22;Лимит;50000;0;22143;0;18199;0;0;0
15.01.2025;23;Лимит;10000;0;0;0;16452;0;0;0
27.12.2024;24;Лимит;300000;0;13094;0;14991;0;0;0
21.12.2024;25;Модель;100000;0;0;0;0;0;0;0
24.01.2025;26;Модель;530000;0;0;0;7827;783;0;0
14.12.2024;27;Лимит;100000;0;0;0;39948;0;0;0
10.02.2025;28;Кредитная история;300000;0;107823;1;8145;0;0;0
12.01.2025;29;Кредитная история;300000;0;0;1;7000;0;0;0
30.01.2025;30;Кредитная история;300000;0;36064;1;6383;0;0;0
26.12.2024;31;Кредитная история;30000;0;0;1;12950;0;0;0
17.12.2024;32;Модель;30000;0;0;0;9189;0;0;0
30.12.2024;33;Модель;900000;0;4268;0;46708;0;0;0
06.12.2024;34;Лимит;300000;0;30121;0;7843;0;0;0
17.02.2025;35;Одобрено;100000;100000;0;0;5000;0;0;0
24.12.2024;36;Кредитная история;21000;0;0;1;18442;0;0;0
16.01.2025;37;Кредитная история;100000;0;81902;1;0;0;0;0
09.01.2025;38;Модель;30000;0;0;0;9756;0;0;0
16.01.2025;39;Лимит;300000;0;45863;0;27316;0;0;0
30.12.2024;40;Кредитная история;15000;0;37313;1;40658;0;0;0
05.12.2024;41;Лимит;150000;0;8149;0;15658;0;0;0
28.01.2025;42;Лимит;874000;0;0;0;40152;0;0;0
21.01.2025;43;Модель;100000;0;0;0;18490;0;0;0
07.12.2024;44;Кредитная история;70000;0;45098;1;10534;0;0;0
08.01.2025;45;Кредитная история;500000;0;0;1;8850;0;0;0
09.02.2025;46;Кредитная история;300000;0;0;1;24719;0;0;0
10.01.2025;47;Модель;700000;0;0;0;98748;0;0;0
31.12.2024;48;Одобрено;10000;10000;7077;0;3100;0;0;0
15.01.2025;49;Модель;300000;0;0;0;69744;0;0;0
31.01.2025;50;Кредитная история;200000;0;0;1;37804;0;0;0
05.01.2025;51;Модель;1200000;0;0;0;27807;0;0;0
03.12.2024;52;Лимит;300000;0;0;0;106306;0;0;0
04.12.2024;53;Кредитная история;300000;0;0;1;17000;0;0;0
04.12.2024;54;Модель;10000;0;0;0;19863;0;0;0
22.12.2024;55;Одобрено;169000;169000;0;0;9500;0;0;0
14.12.2024;56;Кредитная история;300000;0;0;1;963;0;0;0
31.01.2025;57;Модель;600000;0;0;0;9450;0;0;0
01.02.2025;58;Лимит;860000;0;44954;0;27018;2702;0;0
28.12.2024;59;Кредитная история;300000;0;28686;1;24258;0;0;0
12.12.2024;60;Лимит;35000;0;0;0;16634;0;0;0
06.01.2025;61;Модель;10000;0;0;0;14846;0;0;0
03.02.2025;62;Кредитная история;120000;0;29606;1;524;0;0;0
29.01.2025;63;Лимит;300000;0;49873;0;67153;0;0;0
11.02.2025;64;Кредитная история;100000;0;0;1;3500;0;0;0
30.12.2024;65;Кредитная история;300000;0;0;1;223;0;0;0
04.02.2025;66;Лимит;100000;0;0;0;226110;0;0;0
07.01.2025;67;Модель;65000;0;6747;0;4050;0;0;0
09.01.2025;68;Модель;60000;0;0;0;6750;0;0;0
30.12.2024;69;Лимит;100000;0;0;0;94242;0;0;0
19.12.2024;70;Благонадежность;300000;0;9445;0;3250;325;4075;0
